id,listing_url,scrape_id,last_scraped,source,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
51047816,https://www.airbnb.com/rooms/51047816,20221211170644,2022-12-11,city scrape,134584450,https://www.airbnb.com/users/show/134584450,Andrew,2017-06-11,"Vancouver, Canada",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/42452972-aba4-4eba-a181-75be713f9bcb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/42452972-aba4-4eba-a181-75be713f9bcb.jpg?aki_policy=profile_x_medium,East Vancouver,1,1,"['email', 'phone', 'work_email']",t,t,"Vancouver, British Columbia, Canada",Mount Pleasant,,49.25765,-123.0813,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$130.00,3,60,2,3,60,60,3,60,,t,11,29,55,146,2022-12-11,34,33,0,2021-11-12,2022-11-09,5,4.97,4.97,5,4.97,4.94,4.94,22-157840,f,1,1,0,0,2.58
51049050,https://www.airbnb.com/rooms/51049050,20221211170644,2022-12-11,city scrape,394714724,https://www.airbnb.com/users/show/394714724,Mark,2021-03-29,"Vancouver, Canada",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/c91ed0b8-43f4-4f67-ae53-7786db764483.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c91ed0b8-43f4-4f67-ae53-7786db764483.jpg?aki_policy=profile_x_medium,Central Vancouver,2,3,"['email', 'phone']",t,t,,Downtown,,49.278938,-123.107407,Entire condo,Entire home/apt,4,,1 bath,1,1,$179.00,1,365,1,1,1125,1125,1,1125,,t,24,52,82,82,2022-12-11,59,47,2,2021-08-15,2022-12-04,4.47,4.59,4.39,4.59,4.64,4.86,4.44,22-157627,f,1,1,0,0,3.66
51064400,https://www.airbnb.com/rooms/51064400,20221211170644,2022-12-11,previous scrape,412743933,https://www.airbnb.com/users/show/412743933,Ian,2021-07-13,"Vancouver, Canada",N/A,N/A,100%,f,https://a0.muscache.com/im/pictures/user/6a41a192-22eb-4d3c-b852-1c7fd4debccc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6a41a192-22eb-4d3c-b852-1c7fd4debccc.jpg?aki_policy=profile_x_medium,Central Vancouver,1,1,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Downtown Eastside,,49.28368,-123.10224,Entire loft,Entire home/apt,2,,2 baths,1,1,$420.00,4,30,4,4,1125,1125,4,1125,,t,0,0,0,0,2022-12-11,5,3,0,2021-08-02,2022-09-19,5,5,5,5,5,5,5,21-260885,f,1,1,0,0,0.3
51084220,https://www.airbnb.com/rooms/51084220,20221211170644,2022-12-11,city scrape,413338205,https://www.airbnb.com/users/show/413338205,Sang,2021-07-16,,within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/ff628b0f-ecc9-4a34-838a-a7b490adc295.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ff628b0f-ecc9-4a34-838a-a7b490adc295.jpg?aki_policy=profile_x_medium,Central Vancouver,1,1,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Downtown,,49.2786,-123.12437,Entire condo,Entire home/apt,5,,1 bath,2,3,$135.00,1,60,1,3,60,60,1.3,60,,t,3,20,34,34,2022-12-11,99,77,6,2021-08-06,2022-12-06,4.61,4.78,4.57,4.52,4.78,4.93,4.56,22-157633,f,1,1,0,0,6.02
51110418,https://www.airbnb.com/rooms/51110418,20221211170644,2022-12-11,city scrape,65531093,https://www.airbnb.com/users/show/65531093,Andy,2016-04-02,"Vancouver, Canada",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/48d2e127-7a76-4d06-9f94-9918f7494f1d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/48d2e127-7a76-4d06-9f94-9918f7494f1d.jpg?aki_policy=profile_x_medium,Central Vancouver,1,4,"['email', 'phone']",t,t,,Downtown,,49.27804,-123.1211,Entire loft,Entire home/apt,2,,1 bath,1,1,$179.00,3,90,3,3,1125,1125,3,1125,,t,20,49,75,335,2022-12-11,37,37,1,2022-02-02,2022-11-22,4.73,4.84,4.76,4.86,4.95,4.92,4.81,22-168297,t,1,1,0,0,3.55
51112344,https://www.airbnb.com/rooms/51112344,20221211170644,2022-12-11,city scrape,340963398,https://www.airbnb.com/users/show/340963398,Jacqueline,2020-03-09,"Vancouver, Canada",within an hour,100%,100%,t,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,Kerrisdale,2,2,"['email', 'phone']",f,t,"Vancouver, British Columbia, Canada",Kerrisdale,,49.21478,-123.14897,Entire home,Entire home/apt,3,,1 bath,1,1,$88.00,30,365,30,30,365,365,30,365,,t,8,38,68,343,2022-12-11,4,3,0,2021-10-01,2022-08-31,4.5,4.75,5,5,5,4.75,4.5,,t,2,2,0,0,0.27
51123803,https://www.airbnb.com/rooms/51123803,20221211170644,2022-12-11,previous scrape,29222554,https://www.airbnb.com/users/show/29222554,Alex,2015-03-12,"Vancouver, Canada",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/71329629-3779-4698-9808-ce188912a8d6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/71329629-3779-4698-9808-ce188912a8d6.jpg?aki_policy=profile_x_medium,Grandview-Woodland,1,2,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Grandview-Woodland,,49.2692,-123.0762,Entire townhouse,Entire home/apt,6,,3 baths,2,2,$400.00,2,14,2,2,14,14,2,14,,t,0,0,0,0,2022-12-11,2,0,0,2021-08-25,2021-08-30,4.5,5,4,5,4.5,4.5,4.5,21-262848,f,1,1,0,0,0.13
51128701,https://www.airbnb.com/rooms/51128701,20221211170644,2022-12-11,city scrape,127896195,https://www.airbnb.com/users/show/127896195,Paega,2017-04-27,"Vancouver, Canada",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/18c4aea4-57cd-4fcd-ad38-5c8e2aeba6b7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/18c4aea4-57cd-4fcd-ad38-5c8e2aeba6b7.jpg?aki_policy=profile_x_medium,Fairview,2,2,"['email', 'phone']",t,t,,Fairview,,49.2596,-123.11891,Entire rental unit,Entire home/apt,4,,1 bath,1,2,$140.00,2,14,2,2,1125,1125,2,1125,,t,9,39,69,215,2022-12-11,62,50,2,2021-08-07,2022-11-22,4.74,4.85,4.84,4.84,4.98,4.69,4.68,22-157655,t,2,2,0,0,3.78
51129032,https://www.airbnb.com/rooms/51129032,20221211170644,2022-12-11,city scrape,33243357,https://www.airbnb.com/users/show/33243357,Shan,2015-05-12,"Vancouver, Canada",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/8a32b404-2027-422a-94ed-2550f77fe6e7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8a32b404-2027-422a-94ed-2550f77fe6e7.jpg?aki_policy=profile_x_medium,Central Vancouver,2,2,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Downtown,,49.27964,-123.108856,Entire condo,Entire home/apt,3,,1 bath,1,2,$131.00,2,1125,2,5,1125,1125,4.4,1125,,t,30,30,30,30,2022-12-11,48,33,2,2021-08-15,2022-11-21,4.92,4.85,4.9,4.83,4.83,4.9,4.77,22-194109,f,2,2,0,0,2.98
51130737,https://www.airbnb.com/rooms/51130737,20221211170644,2022-12-11,city scrape,43624967,https://www.airbnb.com/users/show/43624967,Jannie,2015-09-07,"Vancouver, Canada",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/86a89449-ed6d-4732-ab02-ad47a6f22e5b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/86a89449-ed6d-4732-ab02-ad47a6f22e5b.jpg?aki_policy=profile_x_medium,Sunset,1,1,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Sunset,,49.22833,-123.10478,Entire condo,Entire home/apt,2,,1 bath,1,1,$100.00,3,365,3,3,1125,1125,3,1125,,t,8,17,30,106,2022-12-11,36,25,2,2021-07-28,2022-12-08,4.89,4.89,5,4.94,4.89,4.89,4.86,22-157208,f,1,1,0,0,2.15
51145875,https://www.airbnb.com/rooms/51145875,20221211170644,2022-12-11,city scrape,23641205,https://www.airbnb.com/users/show/23641205,Reuben,2014-11-12,"Vancouver, Canada",within an hour,100%,90%,t,https://a0.muscache.com/im/pictures/user/43e13411-4346-4e8c-be52-3a7c42d45957.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/43e13411-4346-4e8c-be52-3a7c42d45957.jpg?aki_policy=profile_x_medium,Riley Park–Little Mountain,1,1,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Riley Park,,49.24993,-123.1002,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$150.00,30,45,30,30,45,45,30,45,,t,24,26,56,146,2022-12-11,13,7,1,2021-08-06,2022-11-20,5,4.92,5,4.92,5,5,4.92,21-258831,f,1,1,0,0,0.79
51152635,https://www.airbnb.com/rooms/51152635,20221211170644,2022-12-11,city scrape,413976929,https://www.airbnb.com/users/show/413976929,Joan,2021-07-19,,within a few hours,100%,82%,f,https://a0.muscache.com/im/pictures/user/83eec619-a738-4f67-8cf0-9f242b22651e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83eec619-a738-4f67-8cf0-9f242b22651e.jpg?aki_policy=profile_x_medium,Central Vancouver,1,1,['phone'],t,t,"Vancouver, British Columbia, Canada",Downtown,,49.27453995,-123.1278229,Entire condo,Entire home/apt,2,,1 bath,1,1,$116.00,30,365,30,30,365,365,30,365,,t,25,55,85,175,2022-12-11,7,4,0,2021-09-30,2022-11-01,4.29,4.43,4.14,4.57,4.71,4.86,4.29,,f,1,1,0,0,0.48
51154737,https://www.airbnb.com/rooms/51154737,20221211170644,2022-12-11,previous scrape,231663454,https://www.airbnb.com/users/show/231663454,Plan A,2018-12-20,"Vancouver, Canada",within a few hours,96%,79%,f,https://a0.muscache.com/im/pictures/user/53e9ea1c-51db-450a-908f-6534a3813e83.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/53e9ea1c-51db-450a-908f-6534a3813e83.jpg?aki_policy=profile_x_medium,West End,81,214,"['email', 'phone', 'work_email']",t,t,"Vancouver, British Columbia, Canada",West End,,49.2871,-123.13214,Entire rental unit,Entire home/apt,6,,2 baths,3,3,$155.00,30,1125,30,30,1125,1125,30,1125,,t,0,0,0,0,2022-12-11,0,0,0,,,,,,,,,,,f,75,75,0,0,
51173023,https://www.airbnb.com/rooms/51173023,20221211170644,2022-12-11,previous scrape,400297112,https://www.airbnb.com/users/show/400297112,Catherine & Kevin,2021-05-06,"Vancouver, Canada",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/5205f0c8-dba2-48b7-be5a-5f7f86ad95a4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5205f0c8-dba2-48b7-be5a-5f7f86ad95a4.jpg?aki_policy=profile_x_medium,East Vancouver,3,3,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Hastings-Sunrise,,49.275593,-123.037613,Entire guest suite,Entire home/apt,4,,1 bath,1,2,$119.00,3,1125,3,3,1125,1125,3,1125,,t,0,0,0,0,2022-12-11,13,7,0,2021-08-02,2022-08-22,5,5,5,5,5,4.92,5,22-157199,t,2,1,1,0,0.78
51189114,https://www.airbnb.com/rooms/51189114,20221211170644,2022-12-11,city scrape,414301797,https://www.airbnb.com/users/show/414301797,Priya,2021-07-21,,within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/50e51627-4fbe-425e-8f7e-bf2a79f55a4f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/50e51627-4fbe-425e-8f7e-bf2a79f55a4f.jpg?aki_policy=profile_x_medium,Central Vancouver,1,1,"['email', 'phone']",t,f,,Downtown,,49.28052,-123.12463,Entire condo,Entire home/apt,4,,1 bath,1,2,$128.00,1,60,1,3,1125,1125,1.3,1125,,t,11,41,61,61,2022-12-11,58,43,3,2021-08-01,2022-11-27,4.62,4.74,4.6,4.67,4.83,4.86,4.52,22-157089,f,1,1,0,0,3.49
51194450,https://www.airbnb.com/rooms/51194450,20221211170644,2022-12-11,city scrape,1930228,https://www.airbnb.com/users/show/1930228,Robyn,2012-03-15,"Vancouver, Canada",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/6f944826-0f31-48fd-9edf-126126bcc342.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6f944826-0f31-48fd-9edf-126126bcc342.jpg?aki_policy=profile_x_medium,Grandview-Woodland,2,7,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Grandview-Woodland,,49.26661,-123.0567,Entire home,Entire home/apt,2,,1 bath,1,1,$202.00,1,60,1,2,30,1125,1,1114.9,,t,5,5,5,5,2022-12-11,5,1,0,2021-08-16,2022-06-27,4.6,4.2,5,4.8,5,4.8,4.8,22-157665.,f,2,1,1,0,0.31
51195391,https://www.airbnb.com/rooms/51195391,20221211170644,2022-12-11,city scrape,1930228,https://www.airbnb.com/users/show/1930228,Robyn,2012-03-15,"Vancouver, Canada",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/6f944826-0f31-48fd-9edf-126126bcc342.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6f944826-0f31-48fd-9edf-126126bcc342.jpg?aki_policy=profile_x_medium,Grandview-Woodland,2,7,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Grandview-Woodland,,49.26571,-123.05677,Private room in home,Private room,2,,1 shared bath,1,1,$81.00,1,60,1,1,1125,1125,1,1125,,t,12,42,72,93,2022-12-11,65,55,3,2021-08-11,2022-12-02,4.89,4.89,4.83,4.95,4.95,4.85,4.75,22-157665,f,2,1,1,0,4
51197209,https://www.airbnb.com/rooms/51197209,20221211170644,2022-12-11,city scrape,18179395,https://www.airbnb.com/users/show/18179395,Tom,2014-07-16,"Vancouver, Canada",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/a503b87f-367a-433c-aa73-95ae4ca72829.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a503b87f-367a-433c-aa73-95ae4ca72829.jpg?aki_policy=profile_x_medium,Central Vancouver,2,2,"['email', 'phone', 'work_email']",t,t,"Vancouver, British Columbia, Canada",Downtown,,49.27564,-123.12832,Entire condo,Entire home/apt,4,,2 baths,2,2,$250.00,30,365,30,30,1125,1125,30,1125,,t,0,25,55,290,2022-12-11,7,7,0,2022-01-14,2022-10-03,4.86,4.86,4.57,5,5,5,4.86,,f,1,1,0,0,0.63
51197695,https://www.airbnb.com/rooms/51197695,20221211170644,2022-12-11,city scrape,88405999,https://www.airbnb.com/users/show/88405999,Kristy,2016-08-07,"Vancouver, Canada",within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/586e5a81-4a42-4a06-98a9-3d5348b38ef6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/586e5a81-4a42-4a06-98a9-3d5348b38ef6.jpg?aki_policy=profile_x_medium,Kerrisdale,7,19,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Kerrisdale,,49.22443,-123.14888,Private room in villa,Private room,1,,1 private bath,1,1,$66.00,30,1125,30,30,1125,1125,30,1125,,t,22,52,82,172,2022-12-11,4,3,0,2021-09-11,2022-08-28,4.75,5,4.5,4.75,5,4.5,4.75,,f,6,0,6,0,0.26
51213577,https://www.airbnb.com/rooms/51213577,20221211170644,2022-12-11,previous scrape,118602977,https://www.airbnb.com/users/show/118602977,Theresa,2017-02-28,"Vancouver, Canada",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/68675bd4-c591-4411-a735-f85f268b5184.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/68675bd4-c591-4411-a735-f85f268b5184.jpg?aki_policy=profile_x_medium,Knight,1,1,"['email', 'phone']",t,t,,Kensington-Cedar Cottage,,49.24094,-123.06918,Entire guesthouse,Entire home/apt,4,,1.5 baths,2,2,$214.00,1,30,1,1,30,30,1,30,,t,0,0,0,0,2022-12-11,4,0,0,2021-07-28,2021-08-19,5,4.75,4.75,5,5,5,5,21-264167,f,1,1,0,0,0.24
